trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT ZIMMER#SAUBERKEIT ZIMMER#HAUPT HOTEL#PREIS LAGE#HAUPT ESSEN&TRINKEN#HAUPT ESSEN&TRINKEN#RUHE ZIMMER#RUHE HOTEL#STYLE HOTEL#SAUBERKEIT SERVICE#HAUPT ESSEN&TRINKEN#PREIS ZIMMER#STYLE LAGE#PREIS LAGE#RUHE ESSEN&TRINKEN#STYLE ZIMMER#PREIS SERVICE#SAUBERKEIT]
0	2.14E-05	3	16	26.320.897.817.611.600	0.157697592	0.04391955	0.41443655	0.606197895	0.208498257	0.507771099	[0.5395255388087957, 0.006944444444444445, 0.0, 0.0, 0.859438188407167, 0.8436933938439962, 0.0, 0.0, 0.0, 0.0, 0.8860093206832211, 0.0, 0.6173577477066683, 0.0, 0.0, 0.0, 0.0, 0.0]
1	4.81E-05	3	4	7.219.895.443.916.320	0.090849146	0.031447533	0.63140477	0.766860325	0.469988718	0.73397601	[0.7231681043486371, 0.8754772444543507, 0.08097398669086509, 0.7939220223796273, 0.8946430913118616, 0.8644815279537456, 0.0, 0.6283482793227363, 0.5700037444394569, 0.6970079239900211, 0.9137784668664575, 0.24276280977158482, 0.759960576823322, 0.0, 0.3736024844720497, 0.041666666666666664, 0.0, 0.0]
2	2.82E-05	3	4	7.183.210.871.219.630	0.09914458	0.03262291	0.617303268	0.751702752	0.419460438	0.708851837	[0.7087036132836372, 0.8519162145027446, 0.0, 0.7658657357969834, 0.8871656895046183, 0.8636969033734743, 0.0, 0.570809591642925, 0.5259545640501665, 0.5684841375441622, 0.9166017502916974, 0.02631578947368421, 0.7540078490653941, 0.0, 0.11076604554865424, 0.0, 0.0, 0.0]
3	2.38E-05	3	16	26.165.029.430.389.400	0.156408928	0.045041952	0.401755653	0.59258854	0.202985671	0.495177942	[0.5109885734179338, 0.007042253521126762, 0.0, 0.0, 0.8585530397022332, 0.8366547753993101, 0.0, 0.0, 0.0, 0.0, 0.8652432394689329, 0.0, 0.5752601907214481, 0.0, 0.0, 0.0, 0.0, 0.0]
4	2.20E-05	2	16	18.118.941.116.333.000	0.187466055	0.05320339	0.266122665	0.452072425	0.141797573	0.35557567	[0.04093567251461988, 0.0, 0.0, 0.0, 0.7856146450435244, 0.7903506964966442, 0.0, 0.0, 0.0, 0.0, 0.671129274213011, 0.0, 0.2643260178585347, 0.0, 0.0, 0.0, 0.0, 0.0]
5	2.25E-05	4	8	5.384.172.315.597.530	0.110629836	0.034216281	0.58204034	0.730987823	0.363463584	0.67493727	[0.7038526756102346, 0.8080773988116895, 0.0, 0.7641075500130675, 0.8877467591107964, 0.8611428306172094, 0.0, 0.30562836021505374, 0.4191041372567062, 0.140625, 0.9173679062006983, 0.0, 0.7346918956389585, 0.0, 0.0, 0.0, 0.0, 0.0]
6	4.70E-05	2	8	28.043.750.953.674.300	0.116347576	0.036227362	0.553830042	0.709532362	0.32642593	0.64109491	[0.6854603468310665, 0.7699220514790153, 0.0, 0.7160923151406355, 0.8848297068669158, 0.861871823070122, 0.0, 0.02806122448979592, 0.2911440932045814, 0.02928692699490662, 0.9128127555709894, 0.0, 0.6961855021149385, 0.0, 0.0, 0.0, 0.0, 0.0]
7	2.71E-05	2	16	18.111.742.091.178.800	0.172188926	0.047602249	0.347675397	0.55027704	0.180557186	0.44858838	[0.22348044143469492, 0.0, 0.0, 0.0, 0.8235206410849549, 0.8344260988672463, 0.0, 0.0, 0.0, 0.0, 0.877743540829403, 0.0, 0.49085861796705166, 0.0, 0.0, 0.0, 0.0, 0.0]
8	4.05E-05	4	8	536.703.289.270.401	0.095467107	0.031695463	0.628819963	0.761686351	0.44757953	0.724060768	[0.706864254073194, 0.8649051408326071, 0.09251197012552456, 0.775987888705699, 0.8943325399155106, 0.8750942077367594, 0.0, 0.6281610050411242, 0.5502389105966827, 0.6502445092656142, 0.9162296679866265, 0.1330409356725146, 0.7491235390452712, 0.0, 0.2196969696969697, 0.0, 0.0, 0.0]
9	2.13E-05	3	4	7.216.495.418.548.580	0.106599098	0.033602338	0.597557585	0.738888599	0.392189603	0.690812633	[0.7036503531755903, 0.835171075470302, 0.0, 0.7505946876458398, 0.8906973640199721, 0.8639929235558683, 0.0, 0.49043907301726664, 0.4556314748646037, 0.42156959391001947, 0.9142518920803641, 0.0, 0.7334144124197497, 0.0, 0.0, 0.0, 0.0, 0.0]
