trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL:neutral ZIMMER:positiv ZIMMER:negativ HOTEL:positiv LAGE:neutral ESSEN&TRINKEN:neutral ESSEN&TRINKEN:negativ HOTEL:negativ ESSEN&TRINKEN:positiv LAGE:negativ SERVICE:negativ ZIMMER:neutral SERVICE:positiv LAGE:positiv SERVICE:neutral]
0	4.41E-05	2	8	275.442.081.451.416	0.130854338	0.041874456	0.559002309	0.713401354	0.323892238	0.635724239	[0.0, 0.8440224742856322, 0.6982927104541916, 0.7542124905858582, 0.0, 0.0, 0.0, 0.00980392156862745, 0.8396333045880908, 0.0, 0.0, 0.0, 0.9050103279548134, 0.8074083338163328, 0.0]
1	3.59E-05	2	8	2.749.295.771.121.970	0.137887124	0.042939825	0.547953771	0.704459819	0.318344053	0.627307294	[0.0, 0.8410360039807625, 0.6642137159656392, 0.7492738210578405, 0.0, 0.0, 0.0, 0.0, 0.8388087772734512, 0.0, 0.0, 0.0, 0.8927022454535715, 0.7891262373233593, 0.0]
2	2.03E-05	2	8	2.759.722.566.604.610	0.163655709	0.047406204	0.471323977	0.652063904	0.291450368	0.580250016	[0.0, 0.809734799811892, 0.4840916720151644, 0.6589243593014735, 0.0, 0.0, 0.0, 0.0, 0.8011790704292604, 0.0, 0.0, 0.0, 0.8673340358440464, 0.7504915845878996, 0.0]
3	2.43E-05	4	8	5.291.149.306.297.300	0.12034444	0.039508019	0.58086376	0.733468649	0.362034379	0.663505848	[0.02062074829931973, 0.8415125668908174, 0.7170543065816871, 0.7854894593044994, 0.057608695652173914, 0.0, 0.03774928774928775, 0.2211425610379822, 0.8624459367237907, 0.0, 0.14587142289348173, 0.0, 0.9117376912422108, 0.8292830074341665, 0.0]
4	2.28E-05	3	8	40.288.407.945.632.900	0.131817449	0.041278511	0.555948682	0.716463231	0.3256353	0.638844312	[0.0, 0.8437198488822989, 0.6831026535462996, 0.7572352889961117, 0.0, 0.0, 0.0, 0.0196078431372549, 0.8532446986624964, 0.0, 0.0, 0.0, 0.9058498854999832, 0.8217692746066012, 0.0]
5	3.00E-05	2	8	2.749.605.619.907.370	0.142355319	0.043378879	0.54043188	0.699210411	0.316113617	0.623147128	[0.0, 0.8331258975019125, 0.6559384371952678, 0.7412925030142019, 0.0, 0.0, 0.0, 0.0, 0.83045166409662, 0.0, 0.0, 0.0, 0.8936381355325443, 0.7872576111064787, 0.0]
6	2.92E-05	4	8	5.305.143.129.825.590	0.117216043	0.038991101	0.593321851	0.739393259	0.396358666	0.677947207	[0.07405462184873948, 0.8452518644856106, 0.7199138679163412, 0.7837544613019174, 0.19219322344322345, 0.0, 0.13530219780219782, 0.24297426139937722, 0.8648151097032581, 0.050107758620689655, 0.2919028076346818, 0.0, 0.9110130969615807, 0.8340967174933213, 0.0]
7	2.67E-05	4	4	9.433.182.060.718.530	0.109140014	0.036891234	0.635161958	0.76130512	0.524422921	0.728704827	[0.33333333333333337, 0.8492972538703227, 0.7373100510475873, 0.7874304707638041, 0.4517766874814154, 0.2958333333333333, 0.36986929922135703, 0.3773459169338281, 0.8656526802013932, 0.35061681890950186, 0.5468631286678867, 0.1594854277781107, 0.9079238411774961, 0.8336055785572917, 0.0]
8	2.96E-05	3	4	715.767.308.473.587	0.11072694	0.037251186	0.619182304	0.755126203	0.461589025	0.708735556	[0.24701417004048587, 0.8468056482080137, 0.7397628828545503, 0.796642547974469, 0.2933652094717669, 0.017241379310344824, 0.1430124456440246, 0.36965434257100926, 0.8674804779124382, 0.29751984126984127, 0.5431763285024154, 0.014705882352941178, 0.9145218510545265, 0.8329323656981718, 0.0]
9	2.24E-05	4	8	5.308.550.629.615.780	0.123115346	0.039852792	0.575458519	0.730104354	0.350114216	0.656982099	[0.0, 0.8399329992430968, 0.7136975975831398, 0.7872870384219048, 0.07708333333333334, 0.0, 0.018518518518518517, 0.13941674673499163, 0.8608915072292422, 0.0, 0.081203007518797, 0.0, 0.9025938469742172, 0.8310886475545451, 0.0]
10	4.89E-05	4	4	9.471.543.011.665.340	0.105297152	0.035856825	0.663371372	0.775742423	0.597898816	0.759239603	[0.4162768654372504, 0.8495168738030807, 0.7343029644883068, 0.8017231273769514, 0.5206160037145953, 0.49910047242364314, 0.541781615747074, 0.4883712660028449, 0.8681317164341663, 0.48333333333333334, 0.5804539758487126, 0.43582794194789304, 0.9112245600296229, 0.8378215202162506, 0.0]
11	4.66E-05	4	4	9.425.391.273.498.530	0.103922823	0.035386694	0.667366175	0.779010727	0.599001478	0.761638236	[0.4087824045723617, 0.8499758241138131, 0.7244409114705428, 0.8114202349652726, 0.5142104542966612, 0.4730987688434497, 0.5515143069490895, 0.4714831059129304, 0.8734155019168394, 0.5305563231095146, 0.5424021358160351, 0.47749128255421164, 0.9107667885108742, 0.8454641219065249, 0.0]
12	4.97E-05	3	4	7.161.327.266.693.110	0.106334139	0.035605521	0.653973539	0.773363591	0.554918921	0.747313242	[0.3989058936135549, 0.8539011643724229, 0.7438440303657696, 0.8034451006393571, 0.4600041467965997, 0.22852177690887368, 0.3778860028860029, 0.5019234165175024, 0.872546382557402, 0.42721213840045374, 0.6386169295896036, 0.2696784922394678, 0.9161579914501928, 0.831140350877193, 0.0]
13	4.09E-05	3	16	25.888.684.725.761.400	0.133091502	0.041545465	0.554298419	0.714139361	0.324595174	0.636837386	[0.0, 0.8361588302658973, 0.7011823434254988, 0.7581795034106427, 0.0, 0.0, 0.0, 0.00980392156862745, 0.8489626879933816, 0.0, 0.0, 0.0, 0.9054303095877148, 0.8092100160595191, 0.0]
14	4.74E-05	3	4	714.317.214.012.146	0.106274327	0.03643634	0.645273962	0.768313939	0.54555574	0.740464012	[0.372081043956044, 0.8460745129031584, 0.7336266856835677, 0.8064666247261938, 0.42641879556136786, 0.2568687430478309, 0.39533883728930164, 0.4710411119753249, 0.8622113199631758, 0.45592369725517273, 0.5993081175347186, 0.21193910256410256, 0.9069456196228554, 0.8390918890454133, 0.0]
15	3.92E-05	3	4	7.143.938.527.107.230	0.106868407	0.03566859	0.643861756	0.770328185	0.52532669	0.736186839	[0.34527439606881105, 0.8525563431842279, 0.7318904477475228, 0.8070228699187665, 0.4136820115027127, 0.08849137931034481, 0.4139746922547595, 0.40821620240224893, 0.8727341530605505, 0.4229924107972889, 0.5938876446435237, 0.16524916524916525, 0.9149125382170391, 0.8490160921667056, 0.0]
16	4.94E-05	3	16	25.954.793.548.583.900	0.126394	0.039946851	0.567698129	0.7263552	0.338194861	0.650440277	[0.0, 0.8443735020977187, 0.7162393823958113, 0.7796035377444857, 0.0, 0.0, 0.0, 0.07120743034055728, 0.8507070650634178, 0.0, 0.07196969696969698, 0.0, 0.9098521536812284, 0.8289701496005895, 0.0]
