trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL ZIMMER LAGE ESSEN&TRINKEN SERVICE]
0	3,82E+11	2	16	11.002.389.335.632.300	0.20110388100147247	0.0715578781148544	0.7451780763055333	0.8461804307322129	0.8522648098431505	0.8448915347414476	[0.7539471088330902, 0.8830807656739399, 0.854210073406906, 0.8917495639507025, 0.8783365373511132]
1	2,57E+11	4	8	3.298.616.535.663.600	0.16955571994185448	0.06220213044370097	0.7794967339562453	0.8710523762671851	0.8773113777374164	0.8708266715765267	[0.7979433098207176, 0.8932773553129552, 0.8779236822448059, 0.9092268455969116, 0.9081856957116917]
2	3,86E+10	3	4	44.320.062.255.859.300	0.1706957258284092	0.060039105878525095	0.7874905396133796	0.8763879558231467	0.8820450675914018	0.8760752040964408	[0.8067476245133356, 0.8968978054729282, 0.89288791139629, 0.9104239357567149, 0.9032680608177401]
3	2,34E+11	4	16	20.476.809.000.968.900	0.1841110698878765	0.06699792755642633	0.7642159991936567	0.8580096052182342	0.8640903826452915	0.8568385460991936	[0.7700912327736128, 0.8905243462559875, 0.8627798645133329, 0.9015531018477583, 0.8955033678357656]
4	3,46E+11	4	16	20.539.151.883.125.300	0.17112309858202934	0.06290728290623077	0.7743249085790676	0.8688099630160172	0.8749539176790398	0.868424629615248	[0.792305256516431, 0.8934603185848898, 0.8808380210227715, 0.9052812349565907, 0.9028847573145158]
5	2,93E+11	3	4	4.432.059.500.217.430	0.16904215142130852	0.06107347095396064	0.7837295938576451	0.873602257266874	0.879339890480441	0.873175635948692	[0.8006451202789351, 0.8958560488053198, 0.8881978427379694, 0.906169592262385, 0.9058308483175956]
6	2,25E+10	4	4	5.866.211.080.551.140	0.17215048149228096	0.06088576627363329	0.7870186254677144	0.8741859307070378	0.8793279212833452	0.8737082745990199	[0.8020037067772439, 0.9007065504715448, 0.8824641649691118, 0.903798183838469, 0.9076670003603566]
7	4,67E+11	4	4	585.169.646.024.704	0.1907312050461769	0.05914660239498086	0.7917203049957914	0.8794970967739246	0.8849086286330738	0.8793486507035768	[0.8161354789574288, 0.8974489263819898, 0.89287326750196, 0.9140530611347906, 0.9040324091892004]
8	3,00E+10	4	16	20.507.615.518.569.900	0.1747673861682415	0.06422355866147023	0.7707998093776304	0.8655388393441713	0.871971364712256	0.8649560713648683	[0.7852634356581161, 0.8904862024737582, 0.8767349360297195, 0.9065317487124867, 0.9008405006871991]
9	2,08E+11	4	4	5.861.462.135.314.940	0.17086909338831902	0.06112072867964832	0.7853741096626798	0.874094047372031	0.8797736025563526	0.8737919141174703	[0.8031738971163759, 0.8969085883074713, 0.8849774774774775, 0.9061639155381275, 0.9076441343423112]
10	4,98E+10	2	8	17.418.583.273.887.600	0.16812177002429962	0.0623894372573013	0.7762088075315288	0.8696046098418566	0.875580414165391	0.8690996268482629	[0.7949453929974829, 0.8919549841037979, 0.8787376330593856, 0.9067713678156976, 0.9054926928505906]
11	4,35E+10	3	4	4.441.597.113.609.310	0.17279284074902534	0.0590521311510196	0.7936011094292645	0.8786412441593575	0.8835392004269006	0.8783229411318974	[0.8130598323396216, 0.9007790171303778, 0.8905852988365445, 0.9049755875148549, 0.9082962663131042]
12	4,94E+10	3	4	4.439.285.328.388.210	0.17526891827583313	0.058394236414177486	0.7957153290092588	0.8802862476557527	0.885746067794147	0.8800450802498838	[0.8129885534263771, 0.9009908248714141, 0.8905073566566896, 0.9134826383179655, 0.910760965698289]
13	4,42E+09	3	4	44.395.304.775.238.000	0.17132829502224922	0.058535081235544184	0.7961865800437122	0.8796491812047599	0.8845707062714914	0.8792766996545955	[0.8147982702463554, 0.9020130487984099, 0.8883043232121315, 0.9101458969621925, 0.9075919921383677]
14	4,35E+10	3	4	44.346.187.949.180.600	0.1722741313278675	0.05900505025498837	0.7947763635334809	0.8787021914357778	0.8839234324275985	0.8783823654142996	[0.811495045024112, 0.9006621253383243, 0.8889227918258666, 0.9100381354760243, 0.9084990644736659]
15	4,68E+10	2	4	3.006.112.027.168.270	0.16511427983641624	0.0598985263016431	0.7877237337228301	0.8759540013242103	0.8816077860922997	0.8754977641047876	[0.8027365368539334, 0.8996040753349599, 0.888447435448163, 0.9090811567001822, 0.9081697261242603]
16	4,01E+11	3	8	25.185.167.741.775.500	0.16792934760451317	0.061825704312521663	0.7811430180578445	0.8715872495157218	0.8773861453883202	0.8710495027037295	[0.7969465064995809, 0.8957333816787466, 0.8801669288923024, 0.9061318864333682, 0.9079520234376026]
17	4,91E+09	3	4	44.392.831.015.586.800	0.17439891397953033	0.05834733234780272	0.7966551786333189	0.8803207586052196	0.8856818319718398	0.8800514324063196	[0.8137491484279713, 0.9008768852109494, 0.8911906431272374, 0.9134826383179655, 0.9091098447750756]
18	5,00E+10	3	4	44.495.219.922.065.700	0.175131157040596	0.05839436903641984	0.7968903620764045	0.8803318928528879	0.8857321964369747	0.880077109760664	[0.8139154793336566, 0.9008553066881672, 0.8898701191421705, 0.9149044825926905, 0.9091155944281881]
19	3,45E+10	2	8	17.329.337.882.995.600	0.18086017295718193	0.06572802537859229	0.7663328712184978	0.8609588536692246	0.8670259782836338	0.8602815628808425	[0.7797445873106413, 0.8895569923923314, 0.8709997514335934, 0.9014934762479896, 0.8933350840336134]
