trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT:neutral ZIMMER#SAUBERKEIT:positiv ZIMMER#HAUPT:negativ HOTEL#PREIS:positiv LAGE#HAUPT:neutral ESSEN&TRINKEN#HAUPT:neutral ESSEN&TRINKEN#HAUPT:negativ ESSEN&TRINKEN#RUHE:negativ ZIMMER#RUHE:negativ HOTEL#STYLE:negativ ESSEN&TRINKEN#HAUPT:positiv HOTEL#SAUBERKEIT:positiv LAGE#HAUPT:negativ HOTEL#HAUPT:negativ HOTEL#HAUPT:positiv SERVICE#HAUPT:negativ ESSEN&TRINKEN#PREIS:negativ ZIMMER#HAUPT:neutral ZIMMER#STYLE:negativ ZIMMER#STYLE:positiv HOTEL#STYLE:positiv SERVICE#HAUPT:positiv LAGE#PREIS:positiv ZIMMER#HAUPT:positiv LAGE#HAUPT:positiv HOTEL#SAUBERKEIT:negativ LAGE#RUHE:positiv ZIMMER#STYLE:neutral ZIMMER#SAUBERKEIT:negativ ESSEN&TRINKEN#PREIS:positiv LAGE#PREIS:neutral ZIMMER#RUHE:positiv ESSEN&TRINKEN#STYLE:positiv ZIMMER#PREIS:positiv SERVICE#HAUPT:neutral ESSEN&TRINKEN#STYLE:neutral ESSEN&TRINKEN#PREIS:neutral LAGE#RUHE:negativ LAGE#RUHE:neutral ZIMMER#SAUBERKEIT:neutral HOTEL#STYLE:neutral HOTEL#PREIS:negativ HOTEL#PREIS:neutral HOTEL#SAUBERKEIT:neutral LAGE#PREIS:negativ ESSEN&TRINKEN#RUHE:positiv SERVICE#SAUBERKEIT:positiv ZIMMER#RUHE:neutral SERVICE#SAUBERKEIT:neutral ESSEN&TRINKEN#STYLE:negativ SERVICE#SAUBERKEIT:negativ ZIMMER#PREIS:negativ ZIMMER#PREIS:neutral]
0	4,28E+10	2	16	11.813.122.749.328.600	0.1119548138231039	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1	3,94E+10	3	8	2.536.149.399.280.540	0.07586625590920448	0.020535703442386297	0.16407559644643122	0.33567235223950204	0.040759900260908935	0.24190053771437953	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5925232039502033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055718266718243044, 0.0, 0.8284348462837637, 0.0, 0.0, 0.6835983968759635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2	3,37E+10	4	8	3.309.775.631.427.760	0.0682326890528202	0.01854853847286172	0.26422594586183235	0.46171498703630937	0.07274388766686382	0.3566877986666839	[0.0, 0.6435650637778297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.750265030618715, 0.0, 0.0, 0.0, 0.384648847884142, 0.0, 0.0, 0.0, 0.0, 0.47699116854946616, 0.0, 0.85353256289876, 0.0, 0.0, 0.7464233726148692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	2,33E+10	4	8	33.135.899.114.608.700	0.07891100086271763	0.020903855280206947	0.14574167662807064	0.3069645739907467	0.037462472212799705	0.22522204610356383	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4985032529807756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02723209166707619, 0.0, 0.8160947501769569, 0.0, 0.0, 0.6436809324535756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	3,12E+10	3	16	15.930.762.434.005.700	0.12811988219618797	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	3,83E+11	2	4	3.006.057.550.907.130	0.07199034281075001	0.0200033627662404	0.1995792338324645	0.38700048489865124	0.04940368213942377	0.27966039193558284	[0.0, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7087965572332059, 0.0, 0.0, 0.0, 0.00819672131147541, 0.0, 0.0, 0.0, 0.0, 0.3296456592742726, 0.0, 0.8381482720999711, 0.0, 0.0, 0.7154261252887169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	2,04E+10	2	8	17.303.993.105.888.300	0.11562986485660076	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7	2,90E+10	4	16	20.708.497.977.256.700	0.12778381258249283	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8	2,88E+11	4	4	5.866.212.477.684.020	0.057853396050632	0.017111538942494595	0.3415593015935888	0.539078499949815	0.09644740994075442	0.43044784170935824	[0.0, 0.8526726082687295, 0.0, 0.3150573259907917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7910347775349486, 0.0, 0.0, 0.0, 0.6416820350246148, 0.0, 0.0, 0.0, 0.0, 0.6557336061475001, 0.21590189457635922, 0.8636082519162741, 0.0, 0.0, 0.7760222274007664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9	3,30E+10	3	4	4.429.466.505.050.650	0.06291594542562962	0.017506265274912728	0.3065344305024084	0.5087975629132198	0.08342154098032896	0.39887482408363606	[0.0, 0.7765165994844763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7843108165532412, 0.0, 0.0, 0.0, 0.6155018119835434, 0.0, 0.0, 0.0, 0.0, 0.5788452645209028, 0.027214611872146115, 0.8685906444687211, 0.0, 0.0, 0.7703619230744043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
