trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL ZIMMER LAGE ESSEN&TRINKEN SERVICE]
0	2.63E-05	4	8	14.481.272.025.108.300	0.155187167	0.04842573	0.83168447	0.902237653	0.906191972	0.902200267	[0.8546004969969616, 0.9165162695892375, 0.9113336768103364, 0.9231270305663789, 0.9253823861685635]
1	4.62E-05	2	4	1.230.660.584.449.760	0.450311221	0.196449835	0.207471805	0.226404056	0.227501216	0.226268157	[0.2087745839636914, 0.23492063492063492, 0.23094170403587444, 0.2300531914893617, 0.2328159645232816]
2	2.59E-05	4	4	24.087.233.114.242.500	0.169139441	0.047438799	0.836150524	0.904316028	0.908057489	0.904172198	[0.8555894805659348, 0.9188713055032298, 0.9164679488340569, 0.9187883875383875, 0.9305703209877615]
3	2.45E-05	4	16	930.667.768.239.975	0.144779194	0.047391763	0.832154174	0.903687904	0.907771796	0.903405383	[0.8537396839426923, 0.9186782992483749, 0.9075672853813834, 0.9279423342876901, 0.930931377338741]
4	2.79E-05	3	16	7.096.459.863.185.880	0.142378561	0.048754412	0.826750702	0.901208023	0.90557072	0.901046754	[0.8448495573698418, 0.9202976795358546, 0.9070315997346404, 0.9216902242127164, 0.9339845387840671]
5	4.21E-05	3	8	10.749.020.278.453.800	0.148095261	0.049319162	0.825573459	0.900334803	0.904535481	0.900132133	[0.8471567804905634, 0.9165214643046451, 0.9124741196316415, 0.9211817531139932, 0.9253432859005358]
6	4.88E-05	2	16	49.055.748.438.835.100	0.167230543	0.058349764	0.800175636	0.87701152	0.882128211	0.875206229	[0.8040736112418229, 0.8930168028564314, 0.8807353228372441, 0.9173993642625718, 0.9154159543020598]
7	2.42E-05	2	16	49.105.217.003.822.300	0.14659607	0.050118697	0.818756012	0.896827058	0.901559809	0.896234625	[0.8310020060563376, 0.9163997833475135, 0.915001348480238, 0.9170981891184627, 0.9282977181168863]
8	2.29E-05	2	16	49.091.577.219.963.000	0.151653849	0.053033159	0.811469746	0.890708167	0.896064807	0.889896373	[0.8188552612032169, 0.9083764411595463, 0.9097745021244275, 0.9147240133951904, 0.9285938155891372]
9	2.36E-05	2	8	7.336.807.630.062.100	0.142037731	0.050024314	0.822987325	0.897356108	0.902062691	0.896931802	[0.8383015917323766, 0.9143071886115668, 0.9058638034500253, 0.9234013374209855, 0.9284395324458672]
10	2.01E-05	4	16	9.308.014.771.938.320	0.141490534	0.046638955	0.830276022	0.905504793	0.909524664	0.905501443	[0.8545874003379536, 0.9233593171825344, 0.9155658470327417, 0.9248253050140511, 0.9292854501918791]
11	2.17E-05	4	16	9.309.451.811.313.620	0.140258424	0.047579821	0.830744179	0.903504445	0.907643917	0.903164663	[0.8502047573190465, 0.9203042981374665, 0.915315881955976, 0.9269115034330917, 0.9254831430351376]
12	2.01E-05	4	16	9.305.691.959.857.940	0.142220542	0.048332143	0.827452937	0.901764778	0.906422137	0.901627222	[0.8460799053357733, 0.9178172140773248, 0.9163625489508891, 0.9242659630224868, 0.9275850558678479]
13	2.05E-05	3	16	7.121.962.082.386.010	0.140898544	0.047580042	0.830272928	0.903009559	0.907567922	0.902570395	[0.8429557808298275, 0.9206338290747543, 0.9131874302292473, 0.9257394197805504, 0.9353231483063229]
14	3.00E-05	4	4	24.242.926.228.046.400	0.265504558	0.09790868	0.627779983	0.676979753	0.679696204	0.676931987	[0.640923544743262, 0.6922351064318023, 0.6798089072923598, 0.6918385911749467, 0.6936748723489087]
15	3.32E-05	4	16	9.588.274.967.670.440	0.147861429	0.048238423	0.829568041	0.902573903	0.906187797	0.902514137	[0.8540826657309386, 0.9208794521089458, 0.9086438299064994, 0.9168486293200264, 0.9304844073826113]
16	2.01E-05	3	16	739.082.601.070.404	0.142891265	0.049507662	0.821575782	0.898899878	0.903424906	0.898196906	[0.8353013658932538, 0.919024173901296, 0.9118877313247562, 0.9240661356876642, 0.9268451236906039]
17	2.30E-05	4	16	9.693.016.030.788.420	0.14300691	0.047297999	0.833328765	0.904122016	0.908059189	0.903899124	[0.8524241599275826, 0.9212671479727866, 0.9126037972323527, 0.9232076171546229, 0.9307932228449576]
18	2.24E-05	3	8	11.172.415.611.743.900	0.141763762	0.046921617	0.833564391	0.905154996	0.909375579	0.904975117	[0.8552759599428773, 0.9186652317937403, 0.910658085190555, 0.9295611846519395, 0.9327174356989218]
19	2.19E-05	3	8	11.068.673.121.929.100	0.144525908	0.048520113	0.828157382	0.90188687	0.906238567	0.901834501	[0.8471151978526534, 0.9198819966085772, 0.9126152969833814, 0.922074529970216, 0.929505811418991]
