trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT:neutral ZIMMER#SAUBERKEIT:positiv ZIMMER#HAUPT:negativ HOTEL#PREIS:positiv LAGE#HAUPT:neutral ESSEN&TRINKEN#HAUPT:neutral ESSEN&TRINKEN#HAUPT:negativ ESSEN&TRINKEN#RUHE:negativ ZIMMER#RUHE:negativ HOTEL#STYLE:negativ ESSEN&TRINKEN#HAUPT:positiv HOTEL#SAUBERKEIT:positiv LAGE#HAUPT:negativ HOTEL#HAUPT:negativ HOTEL#HAUPT:positiv SERVICE#HAUPT:negativ ESSEN&TRINKEN#PREIS:negativ ZIMMER#HAUPT:neutral ZIMMER#STYLE:negativ ZIMMER#STYLE:positiv HOTEL#STYLE:positiv SERVICE#HAUPT:positiv LAGE#PREIS:positiv ZIMMER#HAUPT:positiv LAGE#HAUPT:positiv HOTEL#SAUBERKEIT:negativ LAGE#RUHE:positiv ZIMMER#STYLE:neutral ZIMMER#SAUBERKEIT:negativ ESSEN&TRINKEN#PREIS:positiv LAGE#PREIS:neutral ZIMMER#RUHE:positiv ESSEN&TRINKEN#STYLE:positiv ZIMMER#PREIS:positiv SERVICE#HAUPT:neutral ESSEN&TRINKEN#STYLE:neutral ESSEN&TRINKEN#PREIS:neutral LAGE#RUHE:negativ LAGE#RUHE:neutral ZIMMER#SAUBERKEIT:neutral HOTEL#STYLE:neutral HOTEL#PREIS:negativ HOTEL#PREIS:neutral HOTEL#SAUBERKEIT:neutral LAGE#PREIS:negativ ESSEN&TRINKEN#RUHE:positiv SERVICE#SAUBERKEIT:positiv ZIMMER#RUHE:neutral SERVICE#SAUBERKEIT:neutral ESSEN&TRINKEN#STYLE:negativ SERVICE#SAUBERKEIT:negativ ZIMMER#PREIS:negativ ZIMMER#PREIS:neutral]
0	2,76E+10	3	4	18.324.225.873.947.100	0.05458509363234043	0.014942681500962153	0.41513591127395155	0.6158713256295292	0.13154868991675997	0.5108135179937275	[0.0, 0.8349232880648809, 0.0, 0.6679334179334179, 0.08313953488372093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8595877485496249, 0.41399652978600343, 0.0, 0.0, 0.7243439281671655, 0.2852372408293461, 0.0, 0.0, 0.1860938922363345, 0.7105097405398828, 0.4072902871110675, 0.9357784567205691, 0.0, 0.0, 0.8632465007662641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1	2,17E+10	4	4	24.203.211.073.875.400	0.05085786711424589	0.014286213912903988	0.45909775320238505	0.6466889495235112	0.16068196795855827	0.5527855522423408	[0.0, 0.8514785576979897, 0.0, 0.6943533236587808, 0.22001855287569574, 0.0, 0.03125, 0.0, 0.04545454545454545, 0.0, 0.8630315013971305, 0.478921362489487, 0.06340579710144928, 0.0, 0.7558056019889203, 0.6501723341505881, 0.0, 0.0, 0.4972789624971005, 0.7321520797034788, 0.5166356876472783, 0.9412254491253231, 0.0, 0.0, 0.8487203447756186, 0.0, 0.0, 0.0, 0.04166666666666667, 0.0, 0.0, 0.28457353457353457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2	3,55E+10	2	16	49.324.617.624.282.800	0.10704019665718079	0.023866552763900914	0.02444957348686863	0.07784726793943383	0.007184334113188818	0.051546925252419454	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38076970799900733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	2,00E+10	3	8	10.773.832.759.857.100	0.07746654003858566	0.01784762992208685	0.26423125075152604	0.47203897998169475	0.06876722112555807	0.3605209605091043	[0.0, 0.26651081239041496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.815146195802557, 0.0, 0.0, 0.0, 0.4161562066625358, 0.0, 0.0, 0.0, 0.0, 0.4615989575797349, 0.0, 0.9161710045517609, 0.0, 0.0, 0.769079542667574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	2,74E+10	2	16	49.461.648.893.356.300	0.1241650190204382	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	3,92E+11	3	16	7.149.039.342.403.410	0.09249744191765785	0.022416341055428824	0.08250164451580504	0.1929556007762601	0.022024743008952005	0.13296998764017037	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35917565284466146, 0.0, 0.0, 0.0, 0.004132231404958678, 0.0, 0.0, 0.0, 0.0, 0.013636363636363637, 0.0, 0.6097650366569403, 0.0, 0.0, 0.18060209493153212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	3,81E+10	4	4	24.237.782.237.529.700	0.09668414480984211	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7	2,50E+09	2	8	7.383.100.974.559.780	0.08944820426404476	0.02159614755574038	0.09871161912306638	0.24135090287372574	0.02667456891825971	0.1685336133180868	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2433361726938053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009174311926605505, 0.0, 0.8424480055641028, 0.0, 0.0, 0.31879366248325103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8	2,97E+11	2	8	7.377.061.278.820.030	0.08416945859789848	0.01985769099571378	0.18003314671910256	0.3523691898994083	0.043385599118655846	0.2517645838801223	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5609061831443195, 0.0, 0.0, 0.0, 0.28666424057961426, 0.0, 0.0, 0.0, 0.0, 0.0716487961981069, 0.0, 0.903943179434527, 0.0, 0.0, 0.47627435393219253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9	4,32E+10	3	8	10.823.324.584.960.900	0.07106517534703016	0.01826799655469101	0.2811907620650875	0.46595469668686545	0.07204815110786453	0.34589533081396395	[0.0, 0.3896520146520147, 0.0, 0.19294670846394985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6116976977729807, 0.1226790450928382, 0.0, 0.0, 0.362051282051282, 0.0, 0.0, 0.0, 0.0, 0.32959971553388195, 0.1297341291372762, 0.8971929679198084, 0.0, 0.0, 0.7829984480927878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
