trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL:neutral ZIMMER:positiv ZIMMER:negativ HOTEL:positiv LAGE:neutral ESSEN&TRINKEN:neutral ESSEN&TRINKEN:negativ HOTEL:negativ ESSEN&TRINKEN:positiv LAGE:negativ SERVICE:negativ ZIMMER:neutral SERVICE:positiv LAGE:positiv SERVICE:neutral]
0	2.54E-05	3	16	7.159.141.824.245.450	0.110734871	0.03371001	0.641038671	0.777331299	0.477620259	0.724086703	[0.0, 0.8751695322663029, 0.7747555112545187, 0.8150312412489972, 0.05632411067193676, 0.0, 0.5664438502673796, 0.4404895496585033, 0.8967570856171467, 0.27087388765294773, 0.6128246753246753, 0.0707196029776675, 0.935513433528014, 0.8494014025275535, 0.0]
1	3.72E-05	2	4	12.323.116.614.818.500	0.14140608	0.046237315	0.502739312	0.589114487	0.424251177	0.566333752	[0.1847826086956522, 0.6471550480171171, 0.564962348575794, 0.6062940305694768, 0.1916799598251211, 0.20965250965250964, 0.47945736434108527, 0.3788849765258216, 0.663742727471587, 0.4108858858858859, 0.5033876931626307, 0.1783068783068783, 0.7000306131188273, 0.6445450143828632, 0.0]
2	3.50E-05	3	4	1.824.344.045.639.030	0.092023589	0.031045821	0.711794405	0.808812971	0.658666588	0.796891936	[0.47266169154228854, 0.8737713126113161, 0.7998502230649613, 0.824878611389023, 0.5030365621569659, 0.5994949494949495, 0.7459828208957129, 0.5958181655819426, 0.8847985940796832, 0.5816975438824179, 0.7184676378388346, 0.4936886361730055, 0.9309833900443379, 0.8548686783984094, 0.0]
3	4.14E-05	4	8	14.166.073.203.086.800	0.134231986	0.043934463	0.53705156	0.610438029	0.501721466	0.602543239	[0.3540607855676348, 0.6538231556323166, 0.61324150450958, 0.6182700775843992, 0.3996911017371376, 0.502492046659597, 0.528974358974359, 0.4548261210392975, 0.6766082107616588, 0.47741279069767445, 0.5230508735472947, 0.37836235015037906, 0.7014599150707425, 0.6435486986334444, 0.0]
4	3.86E-05	2	16	4.915.215.542.316.430	0.117595036	0.036358093	0.612593852	0.756129694	0.408619842	0.68996574	[0.0, 0.868594837188835, 0.7619956350330137, 0.789580871706229, 0.0, 0.04411764705882353, 0.22164351851851855, 0.1883145363408521, 0.8807518522942861, 0.08108108108108109, 0.5129242654508612, 0.0, 0.9353913308757548, 0.8449020526379697, 0.0]
5	2.09E-05	2	16	491.553.829.908.371	0.133997709	0.03880319	0.573571084	0.730411148	0.33589102	0.652223958	[0.0, 0.8606374249587633, 0.7449330850855336, 0.7589034191145585, 0.0, 0.0, 0.038461538461538464, 0.00980392156862745, 0.8701836782456976, 0.0, 0.0, 0.0, 0.9239477615674622, 0.8314944725699874, 0.0]
6	3.91E-05	2	8	7.345.375.819.206.230	0.141861361	0.046237035	0.494988426	0.586668858	0.389103591	0.554512219	[0.1015625, 0.6424606202290435, 0.5884034414400702, 0.6068122109973723, 0.12115384615384614, 0.10974358974358975, 0.45128022759601705, 0.34969179706021813, 0.6637758206791272, 0.22512919896640826, 0.4942418213969938, 0.13029728020240355, 0.7013763303785836, 0.6506251834446795, 0.0]
7	3.70E-05	2	8	735.574.458.360.672	0.144081993	0.047051852	0.48582003	0.580597511	0.374036088	0.54558254	[0.07182017543859649, 0.6444233926992547, 0.5776922487857894, 0.5983063816133185, 0.02222222222222222, 0.045454545454545456, 0.48661924119241196, 0.4057381466779768, 0.6599346174155292, 0.23858494446729744, 0.4591044776119403, 0.05952380952380953, 0.7011299435028248, 0.6399871753146311, 0.0]
8	3.84E-05	4	16	9.331.129.596.233.360	0.094171764	0.030998327	0.702631535	0.806542969	0.641963418	0.790911974	[0.4512888927769516, 0.8774326982248711, 0.7727721241684329, 0.8262174325340657, 0.4785677599236921, 0.5355167885655691, 0.6773147531288425, 0.6140420916087193, 0.881386431996188, 0.6357916410711442, 0.6864223574045003, 0.4004436083240431, 0.9356342142651195, 0.8566204711166048, 0.0]
9	2.24E-05	2	4	12.358.204.021.453.800	0.101340985	0.032503339	0.665953748	0.7884495	0.553492652	0.752953765	[0.264926103988604, 0.8808428177057743, 0.7730109323122163, 0.8175306667835961, 0.14916743755781683, 0.4108397900238401, 0.5266409266409267, 0.5018055555555556, 0.8891129032258065, 0.5471000755275555, 0.6447058927560837, 0.11350844277673547, 0.9288453092261211, 0.8543529233794721, 0.0]
